"File Name","Collection Name#1","Collection Description#1","Work Type#1","Work Type Vocab#1","Work Type Refid#1","Work Type#2","Work Type Vocab#2","Work Type Refid#2","Work Title#1","Work Title Type#1","Work Agent Name#1","Work Agent Name Vocab#1","Work Agent Name Refid#1","Work Agent Name Type#1","Work Agent Role#1","Work Agent Role Vocab#1","Work Agent Role Refid#1","Work Agent Name#2","Work Agent Name Vocab#2","Work Agent Name Refid#2","Work Agent Name Type#2","Work Agent Role#2","Work Agent Role Vocab#2","Work Agent Role Refid#2","Work Agent Name#3","Work Agent Name Type#3","Work Date#1","Work Date Type#1","Work Date#2","Work Date Type#2","Subject Term#1","Subject Type#1","Subject Vocab#1","Subject Refid#1","Subject Term#2","Subject Type#2","Subject Vocab#2","Subject Refid#2","Subject Term#3","Subject Type#3","Location Name#1","Location Type#1","Location Refid#1","Location Name#10","Location Type#10","Location Refid#10","Location Name#2","Location Type#2","Location Refid#2","Location Name#3","Location Type#3","Location Refid#3","Location Name#4","Location Type#4","Location Refid#4","Location Name#5","Location Type#5","Location Refid#5","Location Name#6","Location Type#6","Location Refid#6","Location Name#7","Location Type#7","Location Refid#7","Location Name#8","Location Type#8","Location Refid#8","Location Name#9","Location Type#9","Location Refid#9","Repository Location Name#1","Repository Location Type#1","Work Measurements#1","Work Measurement#1","Work Measurement Type#1","Work Measurement Unit#1","Work Measurement#2","Work Measurement Type#2","Work Measurement Unit#2","Technique#1","Technique Vocab#1","Technique Refid#1","Technique#2","Technique Vocab#2","Technique Refid#2","Technique#3","Technique Vocab#3","Technique Refid#3","Inscription Text#1","Inscription Text Type#1","Inscription Position#1","Inscription Text#2","Inscription Text Type#2","Cultural Context#1","Cultural Context Vocab#1","Cultural Context Refid#1","Work Description#1","Work Description#2","Relation#1","Relation Type#1","Relation Relids#1","Relation href#1","Image Rights#1","Image Title#1","Image Title Type#1","Image Date#1","Image Date Type#1","Image Work Type#1","Image Work Type Vocab#1","Identifier ARK#1","ln_RECORDID","ln_RECORD_BATCHID","lnexp_MEDIAFILENAME","lnexp_PAGEURL"
"nspc_wolff_singlesCivilWarCarte_63","Ira Wolff Photographic History Collection","The Ira Wolff Photographic History Collection consists of approximately 7,000 original photographs and 7,000 publications, largely from the nineteenth and early-twentieth centuries. As a whole, the collection traces the invention of photography, the scientific and technical components of its development, the history of photomechanical printing, vernacular photographic practices, and the medium's role in social and cultural documentation. The digitized portion of the collection focuses exclusively on private photographic albums ranging from cartes-de-visite albums to travel albums.","cartes-de-visite (card photographs)","aat","300127141","","","","Centennial Exhibition Philadelphia","repository","Harbach Bros.","","","corporate","","","","","","","","","","","","","1876","creation","","","United StatesHistoryCivil War, 1861-1865","conceptTopic","lcsh","sh 85140205","","","","","","","Philadelphia","creation","7014406","","","","Pennsylvania","creation","7007710","","","","","","","","","","","","","","","","","","","","","","University of Colorado Boulder Special Collections Department","corporate","3.25 in. (H) x 2.25 in. (W)","3.25","height","inches","2.25","width","inches","albumen process","aat","300133274","","","","","","","73","text","album index","","","American","ulan","990110","","","Civil War Carte-de-Visite Album","partOf","nspc_wolff_civilWarCarte","http://cudl.colorado.edu/luna/servlet/s/pk1580","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/","Centennial Exhibition Philadelphia","generalView","7/31/2013","creation","digital image","vra","https://ark.colorado.edu/ark:/47540/ws0t7w71f7zm","1088332","202","nspc_wolff_singlesCivilWarCarte_63.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~74~74~1088332~140781"
"nspc_wolff_singlesCivilWarCarte_33","Ira Wolff Photographic History Collection","The Ira Wolff Photographic History Collection consists of approximately 7,000 original photographs and 7,000 publications, largely from the nineteenth and early-twentieth centuries. As a whole, the collection traces the invention of photography, the scientific and technical components of its development, the history of photomechanical printing, vernacular photographic practices, and the medium's role in social and cultural documentation. The digitized portion of the collection focuses exclusively on private photographic albums ranging from cartes-de-visite albums to travel albums.","cartes-de-visite (card photographs)","aat","300127141","","","","Charles Sumner","repository","Brady's National Portrait Gallery","","","corporate","","","","Anthony, E.","","","corporate","","","","McAllister & Brother","corporate","1860/1862","creation","","","United StatesHistoryCivil War, 1861-1865","conceptTopic","lcsh","sh 85140205","","","","","","","New York","creation","7007567","","","","New York","creation","7007568","","","","","","","","","","","","","","","","","","","","","","University of Colorado Boulder Special Collections Department","corporate","3.25 in. (H) x 2.25 in. (W)","3.25","height","inches","2.25","width","inches","albumen process","aat","300133274","","","","","","","33. Charles Sumner","text","album index","","","American","ulan","990110","Published by E. Anthony from photographic negative from Brady's National Portrait Gallery. Also imprint of McAllister & Brother, Phila.","","Civil War Carte-de-Visite Album","partOf","nspc_wolff_civilWarCarte","http://cudl.colorado.edu/luna/servlet/s/pk1580","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/","Charles Sumner","generalView","7/31/2013","creation","digital image","vra","https://ark.colorado.edu/ark:/47540/7c454n55b129","1087724","202","nspc_wolff_singlesCivilWarCarte_33.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~74~74~1087724~140751"
"Wolff_AsiaAfricaEurope_singles_019","Ira Wolff Photographic History Collection","XXXX","photographs","aat","300046300","","","","Child carrying infant","descriptive","","","","","","","","","","","","","","","","","1880/1900","creation","","","","","","","","","","","","","Japan","geographic","1000120","","","","","","","","","","","","","","","","","","","","","","","","","","","","University of Colorado Boulder Special Collections Department","corporate","","","","","","","","gelatin silver prints","aat","300128695","hand coloring","aat","300133555","","","","""The way babies are carried around by an older brother or sister. Note queer shoes. They are twice as high in rainy weather.""","caption","","","","","","","Image No. 19. ""The way babies are carried around by an older brother or sister. Note queer shoes. They are twice as high in rainy weather."" Titled in ink. c. 1897","Subject wearing Japanese wooden sandals, popularly called ""Geta""","Asia, Africa, and Europe album","partOf","wolff_asiaAfricaEurope","http://cudl.colorado.edu/luna/servlet/s/cckl62","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/","Child carrying infant","generalView","","","digital image","vra","https://ark.colorado.edu/ark:/47540/qg510d58d4jc","1092756","202","Wolff_AsiaAfricaEurope_singles_019.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~74~74~1092756~132999"
"nspc_wolff_civilWarCarte","Ira Wolff Photographic History Collection","The Ira Wolff Photographic History Collection consists of approximately 7,000 original photographs and 7,000 publications, largely from the nineteenth and early-twentieth centuries. As a whole, the collection traces the invention of photography, the scientific and technical components of its development, the history of photomechanical printing, vernacular photographic practices, and the medium's role in social and cultural documentation. The digitized portion of the collection focuses exclusively on private photographic albums ranging from cartes-de-visite albums to travel albums.","photograph albums","aat","300026695","cartes-de-visite (card photographs)","aat","300127141","Civil War Carte-de-Visite Album","owner","","","","","","","","","","","","","","","","","1861-11-15","created","1861/1870","view","United StatesHistoryCivil War, 1861-1865","descriptiveTopic","lcsh","sh 85140205","","","","","","","United States","geographic","7012149","","","","","","","","","","","","","","","","","","","","","","","","","","","","University of Colorado Boulder Special Collections Department","corporate","","","","","","","","albumen process","aat","300133274","","","","","","","","","","","","","","","9 3/8 x 6 1/8 gilt dec. leather and brass. a.e.g. Faint pencil inscription dated Nov.15, 1861. 88 Cartes, including Lincoln (2), Lee, Grant (2), John Brown, Jefferson Davis, Kit Carson, Florence Nightingale, 28 Generals + officers + others.","","","","","","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/","Civil War Carte-de-Visite Album","generalView","","","","","https://ark.colorado.edu/ark:/47540/x3199v5678h5","526989","202","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-74-NA/1730/nspc_wolff_civilWarCarte_0001.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~74~74~526989~133090"
"nspc_wolff_singlesCivilWarCarte_11","Ira Wolff Photographic History Collection","The Ira Wolff Photographic History Collection consists of approximately 7,000 original photographs and 7,000 publications, largely from the nineteenth and early-twentieth centuries. As a whole, the collection traces the invention of photography, the scientific and technical components of its development, the history of photomechanical printing, vernacular photographic practices, and the medium's role in social and cultural documentation. The digitized portion of the collection focuses exclusively on private photographic albums ranging from cartes-de-visite albums to travel albums.","cartes-de-visite (card photographs)","aat","300127141","","","","Col. E.E. Ellsworth","repository","McAllister & Brother","","","corporate","","","","","","","","","","","","","1861","creation","","","United StatesHistoryCivil War, 1861-1865","conceptTopic","lcsh","sh 85140205","","","","","","","Philadelphia","creation","7014406","","","","Pennsylvania","creation","7007710","","","","","","","","","","","","","","","","","","","","","","University of Colorado Boulder Special Collections Department","corporate","3.25 in. (H) x 2.25 in. (W)","3.25","height","inches","2.25","width","inches","albumen process","aat","300133274","","","","","","","11. Col. Ellsworth","text","album index","","","American","ulan","990110","Printed on card ""New York Fire Zouaves, Slain at Alexandria, May 24, 1861""","","Civil War Carte-de-Visite Album","partOf","nspc_wolff_civilWarCarte","http://cudl.colorado.edu/luna/servlet/s/pk1580","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/","Col. E.E. Ellsworth","generalView","7/31/2013","creation","digital image","vra","https://ark.colorado.edu/ark:/47540/xs2r6768w17k","1087265","202","nspc_wolff_singlesCivilWarCarte_11.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~74~74~1087265~140729"
"nspc_wolff_singlesCivilWarCarte_21","Ira Wolff Photographic History Collection","The Ira Wolff Photographic History Collection consists of approximately 7,000 original photographs and 7,000 publications, largely from the nineteenth and early-twentieth centuries. As a whole, the collection traces the invention of photography, the scientific and technical components of its development, the history of photomechanical printing, vernacular photographic practices, and the medium's role in social and cultural documentation. The digitized portion of the collection focuses exclusively on private photographic albums ranging from cartes-de-visite albums to travel albums.","cartes-de-visite (card photographs)","aat","300127141","","","","Colonel Dahlgren","repository","Wenderoth & Taylor","","","corporate","","","","","","","","","","","","","1860/1862","creation","","","United StatesHistoryCivil War, 1861-1865","conceptTopic","lcsh","sh 85140205","","","","","","","Philadelphia","creation","7014406","","","","Pennsylvania","creation","7007710","","","","","","","","","","","","","","","","","","","","","","University of Colorado Boulder Special Collections Department","corporate","3.25 in. (H) x 2.25 in. (W)","3.25","height","inches","2.25","width","inches","albumen process","aat","300133274","","","","","","","21. Col. Dahlgren","text","album index","","","American","ulan","990110","","","Civil War Carte-de-Visite Album","partOf","nspc_wolff_civilWarCarte","http://cudl.colorado.edu/luna/servlet/s/pk1580","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/","Colonel Dahlgren","generalView","7/31/2013","creation","digital image","vra","https://ark.colorado.edu/ark:/47540/8k7x1r92v71n","1087473","202","nspc_wolff_singlesCivilWarCarte_21.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~74~74~1087473~140739"
"nspc_wolff_singlesCivilWarCarte_15","Ira Wolff Photographic History Collection","The Ira Wolff Photographic History Collection consists of approximately 7,000 original photographs and 7,000 publications, largely from the nineteenth and early-twentieth centuries. As a whole, the collection traces the invention of photography, the scientific and technical components of its development, the history of photomechanical printing, vernacular photographic practices, and the medium's role in social and cultural documentation. The digitized portion of the collection focuses exclusively on private photographic albums ranging from cartes-de-visite albums to travel albums.","cartes-de-visite (card photographs)","aat","300127141","","","","Colonel Edward D. Baker","repository","James W. Queen & Co.","","","corporate","","","","W.L. Germon's Atelier","","","corporate","","","","","","1860/1862","creation","","","United StatesHistoryCivil War, 1861-1865","conceptTopic","lcsh","sh 85140205","","","","","","","Philadelphia","creation","7014406","","","","Pennsylvania","creation","7007710","","","","","","","","","","","","","","","","","","","","","","University of Colorado Boulder Special Collections Department","corporate","3.25 in. (H) x 2.25 in. (W)","3.25","height","inches","2.25","width","inches","albumen process","aat","300133274","","","","","","","15. Col. Baker","text","album index","","","American","ulan","990110","","","Civil War Carte-de-Visite Album","partOf","nspc_wolff_civilWarCarte","http://cudl.colorado.edu/luna/servlet/s/pk1580","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/","Colonel Edward D. Baker","generalView","7/31/2013","creation","digital image","vra","https://ark.colorado.edu/ark:/47540/xg1v1316t6bj","1087349","202","nspc_wolff_singlesCivilWarCarte_15.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~74~74~1087349~140733"
"nspc_wolff_ColonelOscarStriedinger","Ira Wolff Photographic History Collection","The Ira Wolff Photographic History Collection consists of approximately 7,000 original photographs and 7,000 publications, largely from the nineteenth and early-twentieth centuries. As a whole, the collection traces the invention of photography, the scientific and technical components of its development, the history of photomechanical printing, vernacular photographic practices, and the medium's role in social and cultural documentation. The digitized portion of the collection focuses exclusively on private photographic albums ranging from cartes-de-visite albums to travel albums.","photograph albums","aat","300026695","","","","Colonel Oscar Striedinger Album","owner","","","","","","","","","","","","","","","","","1890/1925","creation","","","Malvern College (Malvern, England)","geographicPlace","naf","n 91087025","Royal Military Academy, Sandhurst","geographicPlace","naf","n 85206304","Royal Berkshire Regiment","corporateName","Egypt","creation","7016833","Dardanelles","creation","7002638","South Africa","creation","1000193","Aldershot","creation","1028281","Palestine (historical region)","creation","7004540","Lemnos","creation","7011173","Istanbul","creation","7002473","Bosporus","creation","1115068","Gulf of Salonika","creation","1113920","Anzac Cove","creation","","University of Colorado Boulder Special Collections Department","corporate","","","","","","","","gelatin silver process","aat","300139114","","","","","","","","","","","","","","","Malvern College, Royal Military Academy Sandhurst. Royal Berkshire Regiment. Aldershot, South Africa, Dardanelles, Anzac Cove, Salonika, Bosphorus, Constantinople, Egypt, Palestine, Lemnos. C. 1890-1925.","","","","","","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/","Colonel Oscar Striedinger Album","generalView","2015","","","","https://ark.colorado.edu/ark:/47540/4s9f1f53x2rp","1100940","202","","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~74~74~1100940~"
"nspc_wolff_singlesCivilWarCarte_17","Ira Wolff Photographic History Collection","The Ira Wolff Photographic History Collection consists of approximately 7,000 original photographs and 7,000 publications, largely from the nineteenth and early-twentieth centuries. As a whole, the collection traces the invention of photography, the scientific and technical components of its development, the history of photomechanical printing, vernacular photographic practices, and the medium's role in social and cultural documentation. The digitized portion of the collection focuses exclusively on private photographic albums ranging from cartes-de-visite albums to travel albums.","cartes-de-visite (card photographs)","aat","300127141","","","","Colonel Robert Gould Shaw","repository","Black, James Wallace","","","personal","","","","Ward, Joseph","","","personal","","","","","","1860/1862","creation","","","United StatesHistoryCivil War, 1861-1865","conceptTopic","lcsh","sh 85140205","","","","","","","Boston","creation","7013445","","","","Massachusetts","creation","7007517","","","","","","","","","","","","","","","","","","","","","","University of Colorado Boulder Special Collections Department","corporate","3.25 in. (H) x 2.25 in. (W)","3.25","height","inches","2.25","width","inches","albumen process","aat","300133274","","","","","","","17. Col. Shaw","text","album index","","","American","ulan","990110","","","Civil War Carte-de-Visite Album","partOf","nspc_wolff_civilWarCarte","http://cudl.colorado.edu/luna/servlet/s/pk1580","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/","Colonel Robert Gould Shaw","generalView","7/31/2013","creation","digital image","vra","https://ark.colorado.edu/ark:/47540/556m7896m0hb","1087390","202","nspc_wolff_singlesCivilWarCarte_17.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~74~74~1087390~140735"
"nspc_wolff_singlesCivilWarCarte_53","Ira Wolff Photographic History Collection","The Ira Wolff Photographic History Collection consists of approximately 7,000 original photographs and 7,000 publications, largely from the nineteenth and early-twentieth centuries. As a whole, the collection traces the invention of photography, the scientific and technical components of its development, the history of photomechanical printing, vernacular photographic practices, and the medium's role in social and cultural documentation. The digitized portion of the collection focuses exclusively on private photographic albums ranging from cartes-de-visite albums to travel albums.","cartes-de-visite (card photographs)","aat","300127141","","","","Com. Samuel F. Du Pont","repository","Brady's National Portrait Gallery","","","corporate","","","","Earles' Galleries and Looking Glass Ware Rooms","","","corporate","","","","","","1860/1862","creation","","","United StatesHistoryCivil War, 1861-1865","conceptTopic","lcsh","sh 85140205","","","","","","","Philadelphia","creation","7014406","","","","Pennsylvania","creation","7007710","","","","","","","","","","","","","","","","","","","","","","University of Colorado Boulder Special Collections Department","corporate","3.25 in. (H) x 2.25 in. (W)","3.25","height","inches","2.25","width","inches","albumen process","aat","300133274","","","","","","","61. Dupont","text","album index","","","American","ulan","990110","From photographic negative from Brady's National Portrait Gallery","","Civil War Carte-de-Visite Album","partOf","nspc_wolff_civilWarCarte","http://cudl.colorado.edu/luna/servlet/s/pk1580","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/","Com. Samuel F. Du Pont","generalView","7/31/2013","creation","digital image","vra","https://ark.colorado.edu/ark:/47540/fm7931189355","1088142","202","nspc_wolff_singlesCivilWarCarte_53.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~74~74~1088142~140771"
"nspc_wolff_singlesCivilWarCarte_20","Ira Wolff Photographic History Collection","The Ira Wolff Photographic History Collection consists of approximately 7,000 original photographs and 7,000 publications, largely from the nineteenth and early-twentieth centuries. As a whole, the collection traces the invention of photography, the scientific and technical components of its development, the history of photomechanical printing, vernacular photographic practices, and the medium's role in social and cultural documentation. The digitized portion of the collection focuses exclusively on private photographic albums ranging from cartes-de-visite albums to travel albums.","cartes-de-visite (card photographs)","aat","300127141","","","","Commodore Andrew Foote","repository","Earles' Galleries and Looking Glass Warehouse","","","corporate","","","","","","","","","","","","","1860/1862","creation","","","United StatesHistoryCivil War, 1861-1865","conceptTopic","lcsh","sh 85140205","","","","","","","Philadelphia","creation","7014406","","","","Pennsylvania","creation","7007710","","","","","","","","","","","","","","","","","","","","","","University of Colorado Boulder Special Collections Department","corporate","3.25 in. (H) x 2.25 in. (W)","3.25","height","inches","2.25","width","inches","albumen process","aat","300133274","","","","","","","20. Com. Foote","text","album index","","","American","ulan","990110","","","Civil War Carte-de-Visite Album","partOf","nspc_wolff_civilWarCarte","http://cudl.colorado.edu/luna/servlet/s/pk1580","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/","Commodore Andrew Foote","generalView","7/31/2013","creation","digital image","vra","https://ark.colorado.edu/ark:/47540/rg723120j1q9","1087453","202","nspc_wolff_singlesCivilWarCarte_20.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~74~74~1087453~140738"
"nspc_wolff_singlesCivilWarCarte_66","Ira Wolff Photographic History Collection","The Ira Wolff Photographic History Collection consists of approximately 7,000 original photographs and 7,000 publications, largely from the nineteenth and early-twentieth centuries. As a whole, the collection traces the invention of photography, the scientific and technical components of its development, the history of photomechanical printing, vernacular photographic practices, and the medium's role in social and cultural documentation. The digitized portion of the collection focuses exclusively on private photographic albums ranging from cartes-de-visite albums to travel albums.","cartes-de-visite (card photographs)","aat","300127141","","","","Constantine Hering","repository","Hurn, J.W.","","","personal","","","","","","","","","","","","","1860/1862","creation","","","United StatesHistoryCivil War, 1861-1865","conceptTopic","lcsh","sh 85140205","","","","","","","Philadelphia","creation","7014406","","","","Pennsylvania","creation","7007710","","","","","","","","","","","","","","","","","","","","","","University of Colorado Boulder Special Collections Department","corporate","3.25 in. (H) x 2.25 in. (W)","3.25","height","inches","2.25","width","inches","albumen process","aat","300133274","","","","","","","80. S. Constantine Hering","text","album index","","","American","ulan","990110","","","Civil War Carte-de-Visite Album","partOf","nspc_wolff_civilWarCarte","http://cudl.colorado.edu/luna/servlet/s/pk1580","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/","Constantine Hering","generalView","7/31/2013","creation","digital image","vra","https://ark.colorado.edu/ark:/47540/gp9t0h78w09k","1088352","202","nspc_wolff_singlesCivilWarCarte_66.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~74~74~1088352~140784"
"nspc_wolff_singlesCivilWarCarte_79","Ira Wolff Photographic History Collection","The Ira Wolff Photographic History Collection consists of approximately 7,000 original photographs and 7,000 publications, largely from the nineteenth and early-twentieth centuries. As a whole, the collection traces the invention of photography, the scientific and technical components of its development, the history of photomechanical printing, vernacular photographic practices, and the medium's role in social and cultural documentation. The digitized portion of the collection focuses exclusively on private photographic albums ranging from cartes-de-visite albums to travel albums.","cartes-de-visite (card photographs)","aat","300127141","","","","Count Bismarck","repository","","","","","","","","","","","","","","","","","1860/1862","creation","","","United StatesHistoryCivil War, 1861-1865","conceptTopic","lcsh","sh 85140205","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","University of Colorado Boulder Special Collections Department","corporate","3.25 in. (H) x 2.25 in. (W)","3.25","height","inches","2.25","width","inches","albumen process","aat","300133274","","","","","","","93. Count Bismarck","text","album index","","","American","ulan","990110","","","Civil War Carte-de-Visite Album","partOf","nspc_wolff_civilWarCarte","http://cudl.colorado.edu/luna/servlet/s/pk1580","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/","Count Bismarck","generalView","7/31/2013","creation","digital image","vra","https://ark.colorado.edu/ark:/47540/3q511m46c87t","1088568","202","nspc_wolff_singlesCivilWarCarte_79.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~74~74~1088568~140797"
"nspc_wolff_singlesCivilWarCarte_77","Ira Wolff Photographic History Collection","The Ira Wolff Photographic History Collection consists of approximately 7,000 original photographs and 7,000 publications, largely from the nineteenth and early-twentieth centuries. As a whole, the collection traces the invention of photography, the scientific and technical components of its development, the history of photomechanical printing, vernacular photographic practices, and the medium's role in social and cultural documentation. The digitized portion of the collection focuses exclusively on private photographic albums ranging from cartes-de-visite albums to travel albums.","cartes-de-visite (card photographs)","aat","300127141","","","","Count Cavour","repository","Anthony, E.","","","corporate","","","","","","","","","","","","","1860/1862","creation","","","United StatesHistoryCivil War, 1861-1865","conceptTopic","lcsh","sh 85140205","","","","","","","New York","creation","7007567","","","","New York","creation","7007568","","","","","","","","","","","","","","","","","","","","","","University of Colorado Boulder Special Collections Department","corporate","3.25 in. (H) x 2.25 in. (W)","3.25","height","inches","2.25","width","inches","albumen process","aat","300133274","","","","","","","91. Count Cavour","text","album index","","","American","ulan","990110","","","Civil War Carte-de-Visite Album","partOf","nspc_wolff_civilWarCarte","http://cudl.colorado.edu/luna/servlet/s/pk1580","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/","Count Cavour","generalView","7/31/2013","creation","digital image","vra","https://ark.colorado.edu/ark:/47540/db2t3g43929f","1088528","202","nspc_wolff_singlesCivilWarCarte_77.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~74~74~1088528~140795"
"nspc_wolff_singlesCivilWarCarte_37","Ira Wolff Photographic History Collection","The Ira Wolff Photographic History Collection consists of approximately 7,000 original photographs and 7,000 publications, largely from the nineteenth and early-twentieth centuries. As a whole, the collection traces the invention of photography, the scientific and technical components of its development, the history of photomechanical printing, vernacular photographic practices, and the medium's role in social and cultural documentation. The digitized portion of the collection focuses exclusively on private photographic albums ranging from cartes-de-visite albums to travel albums.","cartes-de-visite (card photographs)","aat","300127141","","","","Count De Paris And Duc De Chartres","repository","Brady's National Portrait Gallery","","","corporate","","","","Anthony, E.","","","corporate","","","","James W. Queen & Co.","corporate","1860/1862","creation","","","United StatesHistoryCivil War, 1861-1865","conceptTopic","lcsh","sh 85140205","","","","","","","New York","creation","7007567","","","","New York","creation","7007568","","","","","","","","","","","","","","","","","","","","","","University of Colorado Boulder Special Collections Department","corporate","3.25 in. (H) x 2.25 in. (W)","3.25","height","inches","2.25","width","inches","albumen process","aat","300133274","","","","","","","41. Duc de Chartres & Count de Paris","text","album index","","","American","ulan","990110","Published by E. Anthony from photographic negative from Brady's National Portrait Gallery. Also imprint of James W. Queen & Co., Phila.","","Civil War Carte-de-Visite Album","partOf","nspc_wolff_civilWarCarte","http://cudl.colorado.edu/luna/servlet/s/pk1580","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/","Count De Paris And Duc De Chartres","generalView","7/31/2013","creation","digital image","vra","https://ark.colorado.edu/ark:/47540/0x4m7615704j","1087810","202","nspc_wolff_singlesCivilWarCarte_37.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~74~74~1087810~140755"
